1520975818.071097,.66,4.00,119.50,-238.50,23.18,-0.23
1520975821.6605046,4.63,-0.50,0.25,0.65,139.86,26.64,-1002.33,5.50,122.00,-238.00,23.18,-0.23
1520975821.7274218,4.63,-0.50,0.20,0.55,143.19,33.30,-1002.33,4.50,121.00,-238.00,23.18,-0.23
1520975821.7942097,4.63,0.00,0.45,0.60,143.19,33.30,-1005.66,5.00,119.50,-237.50,23.18,-0.23
1520975821.8932962,4.62,-0.90,0.35,0.50,139.86,33.30,-995.67,5.50,121.00,-237.50,23.18,-0.23
1520975821.9600608,4.63,-0.20,0.45,0.50,143.19,29.97,-1002.33,4.00,121.50,-238.00,23.18,-0.23
1520975822.0592246,4.62,-0.65,0.20,0.30,139.86,33.30,-995.67,3.50,120.00,-238.50,23.18,-0.23
1520975822.1260483,4.63,-0.50,0.55,-0.05,139.86,33.30,-1002.33,9.50,122.00,-237.50,23.18,-0.23
1520975822.1928961,4.63,-0.70,0.45,0.20,139.86,36.63,-995.67,8.50,122.50,-238.00,23.18,-0.23
1520975822.2920873,4.63,-1.70,0.45,0.60,143.19,33.30,-985.68,7.50,121.50,-238.00,23.18,-0.23
1520975822.3589356,4.62,-1.25,-0.05,0.30,146.52,33.30,-992.34,8.50,122.50,-238.00,23.18,-0.23
1520975822.4257276,4.63,-0.70,0.20,0.25,149.85,26.64,-992.34,9.00,122.50,-238.00,23.18,-0.23
1520975822.5247808,4.63,-0.45,0.30,1.30,143.19,29.97,-995.67,7.00,121.50,-238.50,23.18,-0.23
1520975822.5916386,4.63,-0.95,0.45,-0.30,143.19,33.30,-992.34,7.50,121.00,-238.00,23.18,-0.23
1520975822.6584587,4.63,-0.50,0.10,-0.20,139.86,33.30,-992.34,4.50,120.50,-237.50,23.18,-0.23
1520975822.757578,4.62,-0.40,1.00,0.65,139.86,33.30,-992.34,5.00,120.00,-237.50,23.18,-0.23
1520975822.8243694,4.63,-1.15,0.35,0.35,143.19,36.63,-1002.33,4.00,118.50,-238.00,23.18,-0.23
1520975822.8912005,4.63,-0.55,0.05,0.25,139.86,29.97,-999.00,5.00,119.00,-237.50,23.18,-0.23
1520975822.990381,4.63,-1.15,0.30,0.60,143.19,29.97,-999.00,5.00,121.00,-237.00,23.18,-0.23
1520975823.0572271,4.63,-0.70,0.60,0.30,139.86,29.97,-1002.33,4.50,119.00,-239.00,23.18,-0.23
1520975823.1563797,4.63,-0.50,0.70,-0.20,139.86,33.30,-995.67,7.00,121.50,-238.00,23.18,-0.23
1520975823.2232018,4.63,-0.95,-0.10,0.60,143.19,26.64,-999.00,9.00,123.00,-238.00,23.32,-0.23
1520975823.290025,4.63,-0.70,0.20,0.25,139.86,33.30,-995.67,7.00,122.00,-239.00,23.18,-0.23
